brewery_id;name;cat_id;style_id;abv
812;Hocus Pocus;11;116;4,5
1385;Winter Warmer;1;13;5,2
1099;Oatmeal Stout;3;42;5
1099;Imperial Stout;3;42;7
1023;Wiesen Edel Weisse;4;50;6,2
483;Cow Palace Scotch Ale 1998;1;15;8,7
1220;Winter Ale;1;13;5,9
878;Full Moon Winter Ale;5;72;5,6
935;Odell IPA;3;31;7
935;Cutthroat Porter;2;25;4,8
1307;Quelque Chose;5;70;8
723;Maracaibo Especial;3;38;7,5
723;Calabaza Blanca;5;72;4,8
160;Obovoid Empirical Stout;3;43;8
1221;Furious Beer;3;31;6
1221;Bender Beer;3;38;5,1
160;Killer Penguin;3;35;10
935;Isolation Ale;11;141;6
670;Twelve Days;3;42;5,5
923;God Jul - Winter Ale;3;42;8,5
1142;Harvest Ale 2007;3;26;6,7
161;Nut Cracker Ale;11;141;5,9
779;Warrior IPA;3;31;6,6
266;Petrus Dubbel Bruin Ale;5;60;6,5
266;Petrus Speciale;3;26;5,5
1202;Weizengold Hefefein;4;50;5,1
160;Never Summer Ale;11;141;5,94
1185;Winter Ale;1;13;6,3
1260;Robert the Bruce Scottish Ale;1;15;7
1056;Lump of Coal Dark Holiday Stout;3;42;8
1056;Warm Welcome Nut Browned Ale;3;38;6
884;Pendle Witches Brew;3;26;5,1
345;Carnegie Stark-Porter;2;25;5,5
727;Harvest Ale 2002;1;13;11,5
1075;Woody Organic IPA;3;31;6,2
304;Leute Bok Bier;7;90;7,5
304;Tikka Gold;3;26;5
481;Triple Exultation Old Ale;1;13;9,7
441;Buzzsaw Brown;3;38;4,8
584;Geist Bock;7;90;6,1
397;Dark Ale;1;10;4,5
441;Cinder Cone Red;3;33;5,4
562;LTD 02 Lager;7;90;6,4
622;Blue Dot Double India Pale Ale;3;32;7
935;Odell Red Ale;3;33;6,5
447;Silk Lady;3;26;4,4
447;Danger Ale;3;38;5,2
1392;Yeti Special Export;8;95;7
919;Old Stock Ale 2007;1;13;11,7
160;Cold Hop;1;2;6,5
723;Biere de Mars;1;13;7
1084;The Unforgiven Amber Ale;3;33;5,8
595;Duke IPA;3;31;5,1
595;Broad Axe Stout;3;42;5
595;Northern Light Lager;8;95;4,4
31;Podge Belgian Imperial Stout;3;42;10,5
307;Okocim Porter;2;25;8,3
723;LuciÃ©rnaga;5;64;6,5
859;Beer Geek Breakfast;3;43;7,5
39;Bock;7;90;5,5
810;Double India Pale Ale;3;26;8,6
481;Certified Organic India Pale Ale;3;26;7
481;Certified Organic Porter;2;25;5,5
481;Certified Organic Amber Ale;3;33;4,8
62;Mephistopheles Stout;3;42;16,03
923;NÃ¸gne Ã˜ Brown Ale;3;38;4,5
1136;Export Ale;3;26;5,1
765;Undercover Investigation Shut-Down Ale;3;26;9,28
727;Harvest Ale 2006;1;13;11,6
1315;Gueuze-Lambic;5;70;6,5
484;Schwarzbier / Dunkel;7;86;4,9
935;90 Shilling;1;7;5,3
905;Sunshine Wheat;11;116;4,8
70;Der Weisse Bock;4;55;8,5
161;Lunar Ale;3;38;5,1
604;Denver Pale Ale / DPA;3;26;5,4
296;Grotten Flemish Ale;5;72;7,7
296;Pater 6;5;60;6,7
905;Skinny Dip;3;37;4,2
1056;IPA;3;31;5,5
935;Double Pilsner;8;95;8,1
708;Creamy Dark;8;95;4,9
590;Jack of Spades Schwarzbier;7;86;3,9
1179;Shiner Hefeweizen;4;50;5,4
1274;New;8;95;4,6
604;Hot Shot ESB;1;5;5
312;Porter;2;25;8
923;NÃ¸gne Ã˜ Imperial Stout;3;43;9
923;NÃ¸gne Ã˜ Porter;2;25;7
923;NÃ¸gne Ã˜ Pale Ale;3;26;6
624;Illuminator Doppelbock;7;90;6,8
624;Old Princeton Landing IPA;3;31;6,1
624;Paddle Out Stout;3;42;5,2
624;Pillar Point Pale Ale;3;26;4,6
624;Sandy Beach Blonde Hefeweizen;4;50;4,5
624;Mavericks Amber Ale;3;33;4,8
1126;Oatmeal Stout;3;42;6
1126;Amber;3;33;5
1126;Pelican Pale;3;26;5
701;Casey Jones Imperial IPA;3;31;7,25
701;Epiphany Ale;3;33;5,5
701;IPA;3;31;6
701;Chazz Cat Rye;8;95;4,5
701;Shining Star Pale Ale;3;26;5
701;Honey Bunny Blonde Ale;8;95;5,8
892;Irish Dry Stout;3;42;4,8
892;Kilt Lifter Scottish Ale;1;15;8
892;India Pale Ale;3;26;6,5
588;Blonde Bock;7;90;7
588;Schwarzbier;7;86;4,3
385;Yule Tide;5;61;10
308;Warka Strong;8;95;7
1004;Zone 7 Porter;2;25;3,8
1004;Pleasanton Pale;3;26;5,3
707;Hefeweizen;4;50;5,6
707;Penalty Shot Porter;2;25;5,8
707;India Pale Ale;3;26;7,5
707;Grid Iron Amber Ale;3;33;5,6
707;Boys of Summer Wheat;8;95;3,5
133;Tatonka Stout;3;43;8,5
133;P.M. Porter;2;25;6,4
133;Jeremiah Red;2;22;7,3
133;Piranha Pale Ale;3;26;5,7
133;Harvest Hefeweizen;4;50;4,9
133;Nutty Brewnette;3;38;5,9
236;Avalanche Amber;3;33;5,4
935;Levity Amber Ale;3;33;5,1
935;Easy Street Wheat;11;116;4,6
161;Boulevard Pale Ale;3;26;5,4
161;Bully! Porter;2;25;5,4
161;Boulevard Dry Stout;3;42;4,9
160;Planet Porter / Boulder Porter;2;25;5,5
272;Arabier;5;65;9
272;Bos Keun;5;65;8,9
285;Delirium NoÃ«l;5;72;10
7;Rochefort 10;5;62;11,3
167;McChouffe;3;29;8,5
236;471 Double IPA;3;31;9,2
167;La Chouffe Golden Ale;5;65;8
903;Old Growler;2;25;6,5
431;Urthel Vlaemse Bock;7;90;7,5
296;Watou Tripel;5;61;7,5
935;Imperial Stout;3;42;7,1
