name;abv;srm;ebc;ph;temperature;duration
Buzz;4,5;10;20;4,4;64;75
Trashy Blonde;4,1;15;15;4,4;69;
Berliner Weisse With Yuzu - B-Sides;4,2;4;8;3,2;60;10
Pilsen Lager;6,3;15;30;4,4;65;
Avery Brown Dredge;7,2;5;10;4,4;66;70
Electric India;5,2;7,5;15;4,4;65;75
AB:12;11,2;40;80;5,3;69;105
Fake Lager;4,7;6;12;4,4;65;75
AB:07;12,5;42;84;5,6;65;105
Bramling X;7,5;11;22;4,4;65;75
Misspent Youth;7,3;60;120;4,4;67;75
Arcade Nation;5,3;100;200;4,2;65;
Movember;4,5;70;140;5,2;68;50
Alpha Dog;4,5;31;62;4,4;65;25
Mixtape 8;14,5;20;40;4,4;65;40
Libertine Porter;6,1;109,5;219;4,4;68;35
AB:06;11,2;35;70;;65;90
Russian Doll – India Pale Ale;6;12,5;25;5,2;65;75
Hello My Name Is Mette-Marit;8,2;;;4,4;66;90
Rabiator;10,27;12;24;4,4;64;60
Vice Bier;4,3;15;30;4;65;75
Devine Rebel (w/ Mikkeller);12,5;18;36;4,4;65;90
Storm;8;6;12;4,4;65;75
The End Of History;55;;;4,4;65;75
Bad Pixie;4,7;4;8;4,4;67;75
