brewery_id,name,cat_id,style_id,abv
812.0,Hocus Pocus,11.0,116.0,4.5
1385.0,Winter Warmer,1.0,13.0,5.2
1099.0,Oatmeal Stout,3.0,42.0,5.0
1099.0,Imperial Stout,3.0,42.0,7.0
1023.0,Wiesen Edel Weisse,4.0,50.0,6.2
483.0,Cow Palace Scotch Ale 1998,1.0,15.0,8.7
1220.0,Winter Ale,1.0,13.0,5.9
878.0,Full Moon Winter Ale,5.0,72.0,5.6
935.0,Odell IPA,3.0,31.0,7.0
935.0,Cutthroat Porter,2.0,25.0,4.8
1307.0,Quelque Chose,5.0,70.0,8.0
723.0,Maracaibo Especial,3.0,38.0,7.5
723.0,Calabaza Blanca,5.0,72.0,4.8
160.0,Obovoid Empirical Stout,3.0,43.0,8.0
1221.0,Furious Beer,3.0,31.0,6.0
1221.0,Bender Beer,3.0,38.0,5.1
160.0,Killer Penguin,3.0,35.0,10.0
935.0,Isolation Ale,11.0,141.0,6.0
670.0,Twelve Days,3.0,42.0,5.5
923.0,God Jul - Winter Ale,3.0,42.0,8.5
1142.0,Harvest Ale 2007,3.0,26.0,6.7
161.0,Nut Cracker Ale,11.0,141.0,5.9
779.0,Warrior IPA,3.0,31.0,6.6
266.0,Petrus Dubbel Bruin Ale,5.0,60.0,6.5
266.0,Petrus Speciale,3.0,26.0,5.5
1202.0,Weizengold Hefefein,4.0,50.0,5.1
160.0,Never Summer Ale,11.0,141.0,5.94
1185.0,Winter Ale,1.0,13.0,6.3
1260.0,Robert the Bruce Scottish Ale,1.0,15.0,7.0
1056.0,Lump of Coal Dark Holiday Stout,3.0,42.0,8.0
1056.0,Warm Welcome Nut Browned Ale,3.0,38.0,6.0
884.0,Pendle Witches Brew,3.0,26.0,5.1
345.0,Carnegie Stark-Porter,2.0,25.0,5.5
727.0,Harvest Ale 2002,1.0,13.0,11.5
1075.0,Woody Organic IPA,3.0,31.0,6.2
304.0,Leute Bok Bier,7.0,90.0,7.5
304.0,Tikka Gold,3.0,26.0,5.0
481.0,Triple Exultation Old Ale,1.0,13.0,9.7
441.0,Buzzsaw Brown,3.0,38.0,4.8
584.0,Geist Bock,7.0,90.0,6.1
397.0,Dark Ale,1.0,10.0,4.5
441.0,Cinder Cone Red,3.0,33.0,5.4
562.0,LTD 02 Lager,7.0,90.0,6.4
622.0,Blue Dot Double India Pale Ale,3.0,32.0,7.0
935.0,Odell Red Ale,3.0,33.0,6.5
447.0,Silk Lady,3.0,26.0,4.4
447.0,Danger Ale,3.0,38.0,5.2
1392.0,Yeti Special Export,8.0,95.0,7.0
919.0,Old Stock Ale 2007,1.0,13.0,11.7
160.0,Cold Hop,1.0,2.0,6.5
723.0,Biere de Mars,1.0,13.0,7.0
1084.0,The Unforgiven Amber Ale,3.0,33.0,5.8
595.0,Duke IPA,3.0,31.0,5.1
595.0,Broad Axe Stout,3.0,42.0,5.0
595.0,Northern Light Lager,8.0,95.0,4.4
31.0,Podge Belgian Imperial Stout,3.0,42.0,10.5
307.0,Okocim Porter,2.0,25.0,8.3
723.0,LuciÃ©rnaga,5.0,64.0,6.5
859.0,Beer Geek Breakfast,3.0,43.0,7.5
39.0,Bock,7.0,90.0,5.5
810.0,Double India Pale Ale,3.0,26.0,8.6
481.0,Certified Organic India Pale Ale,3.0,26.0,7.0
481.0,Certified Organic Porter,2.0,25.0,5.5
481.0,Certified Organic Amber Ale,3.0,33.0,4.8
62.0,Mephistopheles Stout,3.0,42.0,16.03
923.0,NÃ¸gne Ã˜ Brown Ale,3.0,38.0,4.5
1136.0,Export Ale,3.0,26.0,5.1
765.0,Undercover Investigation Shut-Down Ale,3.0,26.0,9.28
727.0,Harvest Ale 2006,1.0,13.0,11.6
1315.0,Gueuze-Lambic,5.0,70.0,6.5
484.0,Schwarzbier / Dunkel,7.0,86.0,4.9
935.0,90 Shilling,1.0,7.0,5.3
905.0,Sunshine Wheat,11.0,116.0,4.8
70.0,Der Weisse Bock,4.0,55.0,8.5
161.0,Lunar Ale,3.0,38.0,5.1
604.0,Denver Pale Ale / DPA,3.0,26.0,5.4
296.0,Grotten Flemish Ale,5.0,72.0,7.7
296.0,Pater 6,5.0,60.0,6.7
905.0,Skinny Dip,3.0,37.0,4.2
1056.0,IPA,3.0,31.0,5.5
935.0,Double Pilsner,8.0,95.0,8.1
708.0,Creamy Dark,8.0,95.0,4.9
590.0,Jack of Spades Schwarzbier,7.0,86.0,3.9
1179.0,Shiner Hefeweizen,4.0,50.0,5.4
1274.0,New,8.0,95.0,4.6
604.0,Hot Shot ESB,1.0,5.0,5.0
312.0,Porter,2.0,25.0,8.0
923.0,NÃ¸gne Ã˜ Imperial Stout,3.0,43.0,9.0
923.0,NÃ¸gne Ã˜ Porter,2.0,25.0,7.0
923.0,NÃ¸gne Ã˜ Pale Ale,3.0,26.0,6.0
624.0,Illuminator Doppelbock,7.0,90.0,6.8
624.0,Old Princeton Landing IPA,3.0,31.0,6.1
624.0,Paddle Out Stout,3.0,42.0,5.2
624.0,Pillar Point Pale Ale,3.0,26.0,4.6
624.0,Sandy Beach Blonde Hefeweizen,4.0,50.0,4.5
624.0,Mavericks Amber Ale,3.0,33.0,4.8
1126.0,Oatmeal Stout,3.0,42.0,6.0
1126.0,Amber,3.0,33.0,5.0
1126.0,Pelican Pale,3.0,26.0,5.0
701.0,Casey Jones Imperial IPA,3.0,31.0,7.25
701.0,Epiphany Ale,3.0,33.0,5.5
701.0,IPA,3.0,31.0,6.0
701.0,Chazz Cat Rye,8.0,95.0,4.5
701.0,Shining Star Pale Ale,3.0,26.0,5.0
701.0,Honey Bunny Blonde Ale,8.0,95.0,5.8
892.0,Irish Dry Stout,3.0,42.0,4.8
892.0,Kilt Lifter Scottish Ale,1.0,15.0,8.0
892.0,India Pale Ale,3.0,26.0,6.5
588.0,Blonde Bock,7.0,90.0,7.0
588.0,Schwarzbier,7.0,86.0,4.3
385.0,Yule Tide,5.0,61.0,10.0
308.0,Warka Strong,8.0,95.0,7.0
1004.0,Zone 7 Porter,2.0,25.0,3.8
1004.0,Pleasanton Pale,3.0,26.0,5.3
707.0,Hefeweizen,4.0,50.0,5.6
707.0,Penalty Shot Porter,2.0,25.0,5.8
707.0,India Pale Ale,3.0,26.0,7.5
707.0,Grid Iron Amber Ale,3.0,33.0,5.6
707.0,Boys of Summer Wheat,8.0,95.0,3.5
133.0,Tatonka Stout,3.0,43.0,8.5
133.0,P.M. Porter,2.0,25.0,6.4
133.0,Jeremiah Red,2.0,22.0,7.3
133.0,Piranha Pale Ale,3.0,26.0,5.7
133.0,Harvest Hefeweizen,4.0,50.0,4.9
133.0,Nutty Brewnette,3.0,38.0,5.9
236.0,Avalanche Amber,3.0,33.0,5.4
935.0,Levity Amber Ale,3.0,33.0,5.1
935.0,Easy Street Wheat,11.0,116.0,4.6
161.0,Boulevard Pale Ale,3.0,26.0,5.4
161.0,Bully! Porter,2.0,25.0,5.4
161.0,Boulevard Dry Stout,3.0,42.0,4.9
160.0,Planet Porter / Boulder Porter,2.0,25.0,5.5
272.0,Arabier,5.0,65.0,9.0
272.0,Bos Keun,5.0,65.0,8.9
285.0,Delirium NoÃ«l,5.0,72.0,10.0
7.0,Rochefort 10,5.0,62.0,11.3
167.0,McChouffe,3.0,29.0,8.5
236.0,471 Double IPA,3.0,31.0,9.2
167.0,La Chouffe Golden Ale,5.0,65.0,8.0
903.0,Old Growler,2.0,25.0,6.5
431.0,Urthel Vlaemse Bock,7.0,90.0,7.5
296.0,Watou Tripel,5.0,61.0,7.5
935.0,Imperial Stout,3.0,42.0,7.1
757.0,EKU 28,7.0,90.0,11.0
757.0,Eisbock,7.0,90.0,9.2
1115.0,Doppelbock Dunkel,7.0,92.0,8.5
1385.0,Special London Ale,1.0,13.0,6.4
1385.0,Oatmeal Stout,3.0,42.0,5.2
363.0,Cerveza Negra,3.0,42.0,6.5
363.0,Cerveza Diablo,8.0,95.0,7.5
363.0,Cerveza Roja,7.0,84.0,6.0
425.0,Ripon Jewel Ale,3.0,26.0,5.8
723.0,Bam BiÃ¨re,5.0,74.0,4.5
1115.0,Samichlaus Bier 2005,7.0,90.0,14.0
609.0,Barleywine,3.0,35.0,10.0
1023.0,Aventinus Weizen-Eisbock,7.0,90.0,12.0
1023.0,Aventinus Weizenstarkbier / Doppel Weizen Bock,4.0,55.0,8.2
905.0,New Belgium Trippel Belgian Style Ale,5.0,61.0,8.5
905.0,Abbey Belgian Style Ale,5.0,60.0,7.0
1142.0,India Pale Ale,3.0,26.0,6.8
586.0,Demolition,8.0,95.0,8.0
723.0,Oro de Calabaza,5.0,65.0,8.0
723.0,La Roja,3.0,33.0,7.2
441.0,Hop Trip Fresh Hop Pale Ale,3.0,26.0,5.5
604.0,Hibernation Ale,1.0,13.0,8.1
905.0,2Â° Below,1.0,5.0,6.6
425.0,Monkey Wrench Dark Ale,2.0,25.0,5.3
604.0,Hercules Double IPA,3.0,31.0,9.1
604.0,Fresh Hop Pale Ale,3.0,26.0,6.1
98.0,Twisted Thistle India Pale Ale,3.0,26.0,6.1
441.0,Inversion IPA,3.0,31.0,6.8
844.0,India Pale Ale,3.0,26.0,7.5
844.0,London Porter,2.0,25.0,6.5
363.0,Rubia,8.0,95.0,6.0
562.0,Session Premium Lager,8.0,95.0,5.1
156.0,Mocny BOSS / BOSS Beer,8.0,95.0,8.1
127.0,La Rossa,7.0,90.0,7.2
905.0,Blue Paddle Pilsener,7.0,77.0,4.8
367.0,Lager,8.0,95.0,4.0
296.0,Abt 12,5.0,62.0,10.0
1375.0,Bah Humbug,1.0,13.0,6.0
727.0,Harvest Ale 2005,1.0,13.0,11.5
638.0,Old Engine Oil,2.0,25.0,6.0
1043.0,Old Slug Porter,2.0,25.0,4.5
744.0,Porter,2.0,25.0,7.1
626.0,Nightmare,2.0,25.0,5.0
1043.0,Ale Mary,3.0,26.0,6.0
70.0,Christmas Bock,7.0,90.0,6.0
296.0,Prior 8,5.0,60.0,8.0
70.0,Weisse,4.0,50.0,4.9
757.0,MÃ¶nchshof Premium Schwarzbier,7.0,86.0,4.9
296.0,St. Bernardus Tripel,5.0,61.0,8.0
1204.0,Double Bastard Ale,3.0,26.0,10.0
7.0,Rochefort 6,3.0,29.0,7.5
262.0,Westmalle Trappist Tripel,5.0,61.0,9.5
590.0,Cow Palace Scotch Ale,1.0,15.0,6.8
511.0,Curator Dunkler Doppelbock,7.0,90.0,9.0
230.0,Nickelbier,7.0,90.0,6.5
1120.0,Schwarzbier,7.0,86.0,5.3
74.0,Rotgold-Pils,8.0,95.0,4.9
204.0,Coronator Helle Doppelbock,7.0,90.0,7.5
727.0,Manchester Star Ale,1.0,13.0,7.3
44.0,Green Valley Stone Mill Pale Ale,3.0,26.0,5.5
233.0,Huusbier Schwarz,2.0,25.0,4.5
233.0,Weizentrumpf,4.0,50.0,5.5
233.0,Honey Brown Ale,8.0,95.0,6.0
1116.0,Stout,3.0,42.0,5.0
1116.0,Weizen,4.0,50.0,5.0
1344.0,Ur-Weizen,4.0,50.0,5.0
216.0,Hefe-Weizen,4.0,50.0,5.2
357.0,Red Racer India Pale Ale,3.0,31.0,6.5
873.0,India Pale Ale,3.0,26.0,5.8
873.0,Oatmeal Stout,3.0,42.0,6.5
873.0,Cream Ale,8.0,95.0,4.8
598.0,Island Lager,8.0,95.0,5.0
598.0,English Bay Pale Ale,3.0,26.0,5.0
598.0,Kitsilano Maple Cream Ale,8.0,95.0,5.0
598.0,Cypress Honey Lager,8.0,95.0,4.7
457.0,Haupenthal Hefeweizen,4.0,50.0,4.8
457.0,Old Bridge Dark Lager,8.0,95.0,5.3
457.0,Cartwright Pale Ale,3.0,26.0,4.3
590.0,1916 Irish Stout,3.0,42.0,3.5
