abv,attenuation_level,boil_volume,brewers_tips,contributed_by,description,ebc,first_brewed,food_pairing,ibu,id,image_url,ingredients,method,name,ph,srm,tagline,target_fg,target_og,volume,temperature,duration
4.5,75.0,"{'value': 25, 'unit': 'litres'}",The earthy and floral aromas from the hops can be overpowering. Drop a little Cascade in at the end of the boil to lift the profile with a bit of citrus.,Sam Mason <samjbmason>,"A light, crisp and bitter IPA brewed with English and American hops. A small batch brewed only once.",20.0,09/2007,"['Spicy chicken tikka masala', 'Grilled chicken quesadilla', 'Caramel toffee cake']",60.0,1,https://images.punkapi.com/v2/keg.png,"{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 3.3, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.4, 'unit': 'kilograms'}}], 'hops': [{'name': 'Fuggles', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Fuggles', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}",Buzz,4.4,10.0,A Real Bitter Experience.,1010,1044.0,"{'value': 20, 'unit': 'litres'}",64,75.0
4.1,76.0,"{'value': 25, 'unit': 'litres'}",Be careful not to collect too much wort from the mash. Once the sugars are all washed out there are some very unpleasant grainy tasting compounds that can be extracted into the wort.,Sam Mason <samjbmason>,"A titillating, neurotic, peroxide punk of a Pale Ale. Combining attitude, style, substance, and a little bit of low self esteem for good measure; what would your mother say? The seductive lure of the sassy passion fruit hop proves too much to resist. All that is even before we get onto the fact that there are no additives, preservatives, pasteurization or strings attached. All wrapped up with the customary BrewDog bite and imaginative twist.",15.0,04/2008,"['Fresh crab with lemon', 'Garlic butter dipping sauce', 'Goats cheese salad', 'Creamy lemon bar doused in powdered sugar']",41.5,2,https://images.punkapi.com/v2/2.png,"{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 3.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.4, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 13.8, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 13.8, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 26.3, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Motueka', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","{'mash_temp': [{'temp': {'value': 69, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}",Trashy Blonde,4.4,15.0,You Know You Shouldn't,1010,1041.7,"{'value': 20, 'unit': 'litres'}",69,
4.2,83.0,"{'value': 25, 'unit': 'litres'}",Clean everything twice. All you want is the clean sourness of lactobacillus.,Sam Mason <samjbmason>,Japanese citrus fruit intensifies the sour nature of this German classic.,8.0,11/2015,"['Smoked chicken wings', 'Miso ramen', 'Yuzu cheesecake']",8.0,3,https://images.punkapi.com/v2/keg.png,"{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 1.63, 'unit': 'kilograms'}}, {'name': 'Wheat Malt', 'amount': {'value': 1.63, 'unit': 'kilograms'}}, {'name': 'Propino Pale Malt for kettle souring', 'amount': {'value': 0.03, 'unit': 'kilograms'}}, {'name': 'Acidulated Malt for kettle souring', 'amount': {'value': 0.03, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'bitter'}], 'yeast': 'Wyeast 1056 - American Ale™'}","{'mash_temp': [{'temp': {'value': 60, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 30}, {'temp': {'value': 72, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 78, 'unit': 'celsius'}, 'duration': 5}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Soured naturally using the kettle souring technique, Yuzu fruit: 50g at middle, Yuzu juice: 200ml at FV'}",Berliner Weisse With Yuzu - B-Sides,3.2,4.0,Japanese Citrus Berliner Weisse.,1007,1040.0,"{'value': 20, 'unit': 'litres'}",60,10.0
6.3,80.0,"{'value': 25, 'unit': 'litres'}",Play around with the fermentation temperature to get the best flavour profile from the individual yeasts.,Ali Skinner <AliSkinner>,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Pilsner yeast ferments with no fruity esters or spicy phenols, although it can add a hint of butterscotch.",30.0,09/2013,"['Spicy crab cakes', 'Spicy cucumber and carrot Thai salad', 'Sweet filled dumplings']",55.0,4,https://images.punkapi.com/v2/4.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.58, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 9, 'unit': 'celsius'}}, 'twist': None}",Pilsen Lager,4.4,15.0,Unleash the Yeast Series.,1012,1060.0,"{'value': 20, 'unit': 'litres'}",65,
7.2,67.0,"{'value': 25, 'unit': 'litres'}",Make sure you have a big enough yeast starter to ferment through the OG and lager successfully.,Sam Mason <samjbmason>,"An Imperial Pilsner in collaboration with beer writers. Tradition. Homage. Revolution. We wanted to showcase the awesome backbone of the Czech brewing tradition, the noble Saaz hop, and also tip our hats to the modern beers that rock our world, and the people who make them.",10.0,02/2011,"['Vietnamese squid salad', 'Chargrilled corn on the cob with paprika butter', 'Strawberry and rhubarb pie']",59.0,5,https://images.punkapi.com/v2/5.png,"{'malt': [{'name': 'Lager Malt', 'amount': {'value': 6.63, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 70}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': None}",Avery Brown Dredge,4.4,5.0,Bloggers' Imperial Pilsner.,1027,1069.0,"{'value': 20, 'unit': 'litres'}",66,70.0
5.2,88.9,"{'value': 25, 'unit': 'litres'}",Source some really good heather honey to get the right spicy esters in the beer.,Sam Mason <samjbmason>,"Re-brewed as a spring seasonal, this beer – which appeared originally as an Equity Punk shareholder creation – retains its trademark spicy, fruity edge. A perfect blend of Belgian Saison and US IPA, crushed peppercorns and heather honey are also added to produce a genuinely unique beer.",15.0,05/2013,"['Mussels with a garlic and herb sauce', 'Crab melt sandwich', 'Shortbread cookies']",38.0,6,https://images.punkapi.com/v2/6.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.63, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Nelson Sauvin', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Peppercorns', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saison™'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': 'Honey: 62.5g at End (WP), Coriander Seeds: 8.5g at 45mins'}",Electric India,4.4,7.5,Vibrant Hoppy Saison.,1005,1045.0,"{'value': 20, 'unit': 'litres'}",65,75.0
11.2,84.0,"{'value': 25, 'unit': 'litres'}",Don't worry too much about controlling the temperature with the Belgian yeast strain - just make sure it doesn't rise above 30°C!,Sam Mason <samjbmason>,"An Imperial Black Belgian Ale aged in old Invergordon Scotch whisky barrels with mountains of raspberries, tayberries and blackberries in each cask. Decadent but light and dry, this beer would make a fantastic base for ageing on pretty much any dark fruit - we used raspberries, tayberries and blackberries beause they were local.",80.0,07/2012,"['Tandoori lamb with pomegranate', 'Beef Wellington with a red wine jus', 'Raspberry chocolate torte']",35.0,7,https://images.punkapi.com/v2/7.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 9.69, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.44, 'unit': 'kilograms'}}], 'hops': [{'name': 'Tomahawk', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Tomahawk', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Tomahawk', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 3522 - Belgian Ardennes™'}","{'mash_temp': [{'temp': {'value': 69, 'unit': 'celsius'}, 'duration': 105}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Aged in whisky barrels with raspberries, tayberries and blackberries'}",AB:12,5.3,40.0,Imperial Black Belgian Ale.,1017,1108.0,"{'value': 20, 'unit': 'litres'}",69,105.0
4.7,78.0,"{'value': 25, 'unit': 'litres'}",Once the primary fermentation is complete get this beer as cold as you can and let it mature for as long as you've got.,Sam Mason <samjbmason>,"Fake is the new black. Fake is where it is at. Fake Art, fake brands, fake breasts, and fake lager. We want to play our part in the ugly fallout from the Lager Dream. Say hello to Fake Lager – a zesty, floral 21st century faux masterpiece with added BrewDog bitterness.",12.0,03/2013,"['Fried crab cakes with avocado salsa', 'Spicy shredded pork roll with hot dipping sauce', 'Key lime pie']",40.0,8,https://images.punkapi.com/v2/8.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.33, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.42, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.28, 'unit': 'kilograms'}}, {'name': 'Acidulated Malt', 'amount': {'value': 0.07, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Hersbrucker', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Hersbrucker', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': None}",Fake Lager,4.4,6.0,Bohemian Pilsner.,1010,1046.0,"{'value': 20, 'unit': 'litres'}",65,75.0
12.5,83.0,"{'value': 25, 'unit': 'litres'}",Authentic heather honey adds a beautiful floral top note that is unachievable any other way.,Sam Mason <samjbmason>,"Whisky cask-aged imperial scotch ale. Beer perfect for when the rain is coming sideways. Liquorice, plum and raisin temper the warming alcohol, producing a beer capable of holding back the Scottish chill.",84.0,03/2010,"['Kedgeree', 'Scotch broth with sourdough bread', 'Clootie dumpling']",30.0,9,https://images.punkapi.com/v2/9.png,"{'malt': [{'name': 'Munich', 'amount': {'value': 5.63, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Peated Malt', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 31.3, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Saflager S189'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 105}], 'fermentation': {'temp': {'value': 11, 'unit': 'celsius'}}, 'twist': 'Scottish Heather Honey: 62.5g at middle, Add honey during the boil. After fermentation, age in a Scottish whisky cask'}",AB:07,5.6,42.0,Whisky Cask-Aged Scotch Ale.,1020,1106.0,"{'value': 20, 'unit': 'litres'}",65,105.0
7.5,80.9,"{'value': 25, 'unit': 'litres'}","Getting good Bramling Cross is key. Most English hops are in leaf form (not pelletised), so getting fresh hops close to harvest (September) will give this beer the right amount of dark berry intensity.",Sam Mason <samjbmason>,"Good old Bramling Cross is elegant, refined, assured, (boring) and understated. Understated that is unless you hop the living daylights out of a beer with it. This is Bramling Cross re-invented and re-imagined, and shows just what can be done with English hops if you use enough of them. Poor Bramling Cross normally gets lost in a woeful stream of conformist brown ales made by sleepy cask ale brewers. But not anymore. This beer shows that British hops do have some soul, and is a fruity riot of blackberries, pears, and plums. Reminds me of the bramble, apple and ginger jam my grandmother used to make.",22.0,01/2011,"['Warm blackberry pie', 'Vinegar doused fish and chips', 'Aromatic korma curry with lemon and garlic naan']",75.0,10,https://images.punkapi.com/v2/10.png,"{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.38, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Bramling Cross', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}",Bramling X,4.4,11.0,Single Hop IPA Series - 2011.,1013,1068.0,"{'value': 20, 'unit': 'litres'}",65,75.0
