name,abv,srm,ebc,ph,temperature,duration
Buzz,4.5,10.0,20.0,4.4,64,75.0
Trashy Blonde,4.1,15.0,15.0,4.4,69,
Berliner Weisse With Yuzu - B-Sides,4.2,4.0,8.0,3.2,60,10.0
Pilsen Lager,6.3,15.0,30.0,4.4,65,
Avery Brown Dredge,7.2,5.0,10.0,4.4,66,70.0
Electric India,5.2,7.5,15.0,4.4,65,75.0
AB:12,11.2,40.0,80.0,5.3,69,105.0
Fake Lager,4.7,6.0,12.0,4.4,65,75.0
AB:07,12.5,42.0,84.0,5.6,65,105.0
Bramling X,7.5,11.0,22.0,4.4,65,75.0
Misspent Youth,7.3,60.0,120.0,4.4,67,75.0
Arcade Nation,5.3,100.0,200.0,4.2,65,
Movember,4.5,70.0,140.0,5.2,68,50.0
Alpha Dog,4.5,31.0,62.0,4.4,65,25.0
Mixtape 8,14.5,20.0,40.0,4.4,65,40.0
Libertine Porter,6.1,109.5,219.0,4.4,68,35.0
AB:06,11.2,35.0,70.0,,65,90.0
Russian Doll – India Pale Ale,6.0,12.5,25.0,5.2,65,75.0
Hello My Name Is Mette-Marit,8.2,,,4.4,66,90.0
Rabiator,10.27,12.0,24.0,4.4,64,60.0
Vice Bier,4.3,15.0,30.0,4.0,65,75.0
Devine Rebel (w/ Mikkeller),12.5,18.0,36.0,4.4,65,90.0
Storm,8.0,6.0,12.0,4.4,65,75.0
The End Of History,55.0,,,4.4,65,75.0
Bad Pixie,4.7,4.0,8.0,4.4,67,75.0
